Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=VALUE~String~VALUE~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~mosfetSwitch.PrjPCB|ReportField=ProjectFullPath~C:\Users\Dmitry\Desktop\Request\MosfetSwitch\mosfetSwitch.PrjPCB|ReportField=Title~Bill of Materials For Project [mosfetSwitch.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~14|ReportField=ReportTime~11:46:08|ReportField=ReportDate~28.08.2015|ReportField=ReportDateTime~28.08.2015 11:46:08|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Address1|ReportField=Address2~Address2|ReportField=Address3~Address3|ReportField=Address4~Address4|ReportField=ApprovedBy~|ReportField=Author~Беляев Д.В.|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~28.08.2015|ReportField=CurrentTime~11:45:45|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Dmitry\Desktop\Request\MosfetSwitch\mosfetSwitch.SchDoc|ReportField=DocumentName~mosfetSwitch.SchDoc|ReportField=DocumentNumber~АБВГ.123456.001 Э3|ReportField=DocumentType~Схема электрическая принципиальная|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=EngineerName~|ReportField=FirstReferrence~АБВГ.123456.001|ReportField=ImagePath~|ReportField=Letter1Column~-|ReportField=Letter2Column~|ReportField=Letter3Column~|ReportField=Mass~|ReportField=ModifiedDate~27.08.2015|ReportField=NormInspection~|ReportField=Organization~|ReportField=ProcessInspection~|ReportField=ProjectName~mosfetSwitch.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=Scale~1:1|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~MOSFET|ReportField=Title2str~SWITCH|ReportField=DataSourceFileName~mosfetSwitch.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Dmitry\Desktop\Request\MosfetSwitch\mosfetSwitch.PrjPCB
C_1210|Конденсатор (1210)|C1|1|22uF
C_0603|Конденсатор (0603)|C2|1|0.1uF
IRS44273LTRPBF|Single Low-Side Driver IC|DD1|1|
R_0603|Резистор 0.063 Вт (0603)|R1, R2|2|4.7k
R_1206|Резистор 0.25 Вт (1206)|R3|1|6.8
SR24|Диод Шоттки 2А|VD1|1|
SK59|Диод Шоттки 5А|VD2|1|
AUIRFZ44NS|N-chanal Power MOSFET|VT1|1|
235-101|235-101 - 1-CONDUCTOR PCB TERMINAL BLOCK 2 SOLDER PINS / POLE 1 POLE PIN SPACING 3.81 MM / 0.15 IN WITH PUSH BOTTONS|XT1, XT2, XT3, XT4|4|
DG500-02P|Terminal block; angled 90; 2.5mm2; 5mm; ways: 2; 24A; 250V; L:15mm|XT5|1|
